Brand,Model,Status,Screen Size,Processor Type,RAM Size,Graphic Card,Hard Drive,Warranty Status,Delivery
Asus,Dòng Khác,Đã sử dụng (qua sửa chữa),15 - 16.9 inch,Intel Celeron,2 GB,Onboard,128 GB,,Không giao hàng
Dell,Inspiron,Mới,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,,Tự giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,,Tự giao hàng
Apple,Macbook,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Khác,8 GB,Khác,256 GB,,Tự giao hàng
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i3,4 GB,Onboard,128 GB,,Tự giao hàng
Acer,Aspire,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,,Tự giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,,Tự giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,,Tự giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,,Tự giao hàng
Panasonic,CF,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,500 GB,,Tự giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,,Tự giao hàng
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,< 128 GB,,Không giao hàng
HP,Pavilion,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,,Tự giao hoặc đặt dịch vụ giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,,Tự giao hàng
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,AMD,512 GB,,Không giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
HP,Elitebook,Mới,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
HP,Notebook,Đã sử dụng (chưa sửa chữa),17 - 18.9 inch,AMD,8 GB,AMD,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Ryzen 3,4 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
Samsung,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Ryzen 3,4 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
