Asus,Dòng Khác,Đã sử dụng (qua sửa chữa),15 - 16.9 inch,Intel Celeron,2 GB,Onboard,128 GB,,Không giao hàng,1600000
Dell,Inspiron,Mới,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,256 GB,,Tự giao hàng,14800000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,,Tự giao hàng,7000000
Apple,Macbook,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Khác,8 GB,Khác,256 GB,,Tự giao hàng,14200000
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i3,4 GB,Onboard,128 GB,,Tự giao hàng,5900000
Acer,Aspire,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,,Tự giao hàng,6800000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,,Tự giao hàng,5800000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,,Tự giao hàng,5500000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,,Tự giao hàng,6800000
Panasonic,CF,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,500 GB,,Tự giao hàng,3200000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,,Tự giao hàng,3800000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,< 128 GB,,Không giao hàng,4700000
HP,Pavilion,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,,Tự giao hoặc đặt dịch vụ giao hàng,5700000
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,,Tự giao hàng,16500000
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,AMD,512 GB,,Không giao hàng,22000000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng,12399000
HP,Elitebook,Mới,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,9800000
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,16900000
HP,Notebook,Đã sử dụng (chưa sửa chữa),17 - 18.9 inch,AMD,8 GB,AMD,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,5900000
Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Ryzen 3,4 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng,7300000
Samsung,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Ryzen 3,4 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng,2250000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,6500000
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,8700000
Dell,Vostro,Đã sử dụng (qua sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,3800000
Dell,Vostro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,4500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Khác,128 GB,Còn bảo hành,Dùng dịch vụ giao hàng,4250000
HP,ProBook,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Khác,8 GB,Onboard,256 GB,Còn bảo hành,Dùng dịch vụ giao hàng,8900000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Dùng dịch vụ giao hàng,2200000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Dùng dịch vụ giao hàng,5500000
Asus,A series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,1 TB,Còn bảo hành,Tự giao hàng,7990000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng,5800000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Còn bảo hành,Không giao hàng,10000000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,512 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,5300000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng,4500000
HP,ProBook,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,250 GB,Còn bảo hành,Không giao hàng,3500000
HP,ZBook,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,20900000
HP,ProBook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Pentium,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,2999000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),9 - 10.9 inch,Intel Core i5,4 GB,Onboard,< 128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,5400000
Dell,Vostro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,AMD,500 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,3500000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,4999000
HP,ProBook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,NVIDIA,320 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,2900000
HP,ProBook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,NVIDIA,320 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,
Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,250 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,2300000
HP,Compaq,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core 2 Duo,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,2990000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,512 GB,Còn bảo hành,Không giao hàng,12790000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Không giao hàng,17200000
Asus,A series,Mới,15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,6000000
HP,Compaq,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core 2 Duo,4 GB,AMD,128 GB,Còn bảo hành,Tự giao hàng,1500000
Lenovo,Dòng Khác,Đã sử dụng (qua sửa chữa),13 - 14.9 inch,Intel Core i3,8 GB,AMD,500 GB,Hết bảo hành,Không giao hàng,4500000
Acer,Aspire,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,7200000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,4900000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,256 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,3400000
Dell,Inspiron,Mới,15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,500 GB,Còn bảo hành,Dùng dịch vụ giao hàng,5900000
