Brand,Model,Price,RAM,Memory,Screen_size,Status,Warranty,Graphic_card,Processor Type,Alpha
Dell,Inspiron,14800000.0,16,256,14,10,1,2,Intel Core i7,20
Hãng Khác,Dòng Khác,7000000.0,8,256,16,5,1,2,Intel Core i5,10
Apple,Macbook,14200000.0,8,256,12,5,1,2,Khác,10
Lenovo,Dòng Khác,5900000.0,4,128,12,5,1,2,Intel Core i3,10
Acer,Aspire,6800000.0,4,128,16,5,1,2,Intel Core i5,10
Dell,Inspiron,5800000.0,4,128,16,5,1,2,Intel Core i3,10
Dell,Inspiron,5500000.0,4,128,16,5,1,2,Intel Core i3,10
Hãng Khác,Dòng Khác,6800000.0,4,128,14,5,1,2,Intel Core i5,10
HP,Pavilion,5700000.0,4,128,14,5,1,2,Intel Core i5,10
Apple,Macbook Air,16500000.0,8,128,14,5,1,2,Intel Core i5,10
Apple,Macbook Pro,22000000.0,16,512,16,5,1,5,Intel Core i7,25
Dell,Inspiron,12399000.0,4,128,16,5,5,2,Intel Core i5,50
HP,Elitebook,9800000.0,8,256,14,10,5,2,Intel Core i7,100
Lenovo,ThinkPad,16900000.0,8,128,14,5,5,2,Intel Core i5,50
HP,Notebook,5900000.0,8,256,18,5,5,5,AMD,125
Asus,VivoBook S Series,7300000.0,4,256,14,5,5,2,Ryzen 3,50
Hãng Khác,Dòng Khác,6500000.0,4,128,14,5,5,2,Intel Core i5,50
Apple,Macbook Pro,8700000.0,8,128,14,5,5,2,Intel Core i5,50
HP,ProBook,8900000.0,8,256,12,5,5,2,Khác,50
Dell,Latitude,5500000.0,8,256,16,5,5,2,Intel Core i5,50
Asus,A series,7990000.0,4,1024,14,5,5,2,Intel Core i5,50
Dell,Latitude,5800000.0,4,128,12,5,5,2,Intel Core i5,50
Dell,Latitude,10000000.0,8,512,14,5,5,2,Intel Core i5,50
HP,Elitebook,5300000.0,4,512,14,5,5,2,Intel Core i5,50
HP,ZBook,20900000.0,16,512,16,5,5,5,Intel Core i7,125
Dell,Latitude,5400000.0,4,64,10,5,5,2,Intel Core i5,50
Dell,Precision,12790000.0,32,512,16,5,5,5,Intel Core i7,125
Dell,Latitude,17200000.0,16,512,14,5,5,2,Intel Core i7,50
Asus,A series,6000000.0,4,128,16,10,5,2,Intel Core i3,100
Acer,Aspire,7200000.0,4,128,16,5,1,5,Intel Core i5,25
Dell,Inspiron,5900000.0,4,500,16,10,5,5,Intel Core i5,250
